id,citric_acid,residual_sugar,density,pH,alcohol
108,0.53,2.5,0.9976,3.37,9.6
109,0.52,2.0,0.9969,3.21,9.3
110,0.19,1.8,0.9964,3.19,9.5
111,0.09,2.2,0.9964,3.15,9.8
112,0.1,2.2,0.9964,3.15,9.8
113,0.44,2.3,0.9988,3.32,9.7
114,0.19,1.8,0.9964,3.19,9.5
115,0.31,2.2,0.9966,3.07,10.5
116,0.28,1.9,0.9978,3.39,10.0
117,0.12,2.0,0.997,3.37,9.4
118,0.04,2.2,0.9962,3.21,10.9
119,0.08,1.8,0.9959,3.34,9.2
120,0.09,1.7,0.9962,3.3,9.0
121,0.04,2.2,0.9962,3.21,10.9
122,0.0,2.5,0.998,3.49,9.2
123,0.0,2.6,0.9976,3.44,9.5
124,0.17,1.6,0.996,3.39,9.5
125,0.04,1.9,0.9984,3.16,9.4
126,0.0,1.7,0.9964,3.53,10.9
127,0.0,1.8,0.9964,3.54,10.9
128,0.16,1.8,0.9962,3.42,10.5
129,0.15,1.8,0.9955,3.42,9.4
130,0.56,2.0,0.9968,3.24,9.4
131,0.09,2.3,0.9937,3.63,13.0
132,0.09,2.3,0.9937,3.63,13.0
133,0.01,1.5,0.9952,3.4,9.8
134,0.05,2.2,0.9959,3.22,9.9
135,0.11,1.9,0.9965,3.19,9.6
136,0.15,1.8,0.9968,3.23,9.5
137,0.36,2.0,0.9972,3.48,9.2
138,0.19,2.1,0.9962,3.33,9.5
139,0.19,2.0,0.9962,3.32,9.5
140,0.11,1.9,0.9965,3.19,9.6
141,0.15,1.8,0.9968,3.23,9.5
142,0.0,1.8,0.9916,3.68,14.0
143,0.08,1.7,0.9954,3.34,9.4
144,0.0,1.8,0.9916,3.68,14.0
145,0.55,1.8,0.9968,3.17,9.4
146,0.02,1.8,0.9944,3.54,10.0
147,0.26,1.6,0.9968,3.11,9.3
148,0.1,2.3,0.9959,3.42,10.2
149,0.44,2.8,0.9975,3.53,10.5
150,0.47,2.1,0.9958,3.33,10.3
151,1.0,3.4,0.9996,2.74,9.4
152,0.03,1.8,0.995,3.35,10.1
153,0.03,1.8,0.995,3.35,10.1
154,0.42,5.5,0.9973,3.42,10.5
155,0.42,5.5,0.9973,3.42,10.5
156,0.42,5.5,0.9973,3.42,10.5
157,0.42,5.5,0.9973,3.42,10.5
158,0.0,2.2,0.9969,3.48,9.3
159,0.18,1.9,0.9968,3.59,9.3
160,0.03,2.0,0.9959,3.2,9.6
161,0.02,1.3,0.9965,3.17,9.2
162,0.04,1.7,0.9964,3.33,10.0
163,0.26,7.3,0.9982,3.37,9.4
164,0.26,7.2,0.9981,3.37,9.4
165,0.48,1.7,0.9961,3.19,9.5
166,0.1,2.1,0.9956,3.34,10.2
167,0.03,1.6,0.9956,3.37,9.0
168,0.07,2.1,0.9953,3.47,10.4
169,0.24,1.8,0.9964,3.0,9.5
170,0.03,1.8,0.9972,3.36,9.1
171,0.17,2.0,0.9972,3.29,9.2
172,0.17,2.0,0.9972,3.29,9.2
173,0.05,1.9,0.9961,3.42,11.5
174,0.21,2.0,0.9961,3.33,9.5
175,0.04,1.5,0.9958,3.35,9.5
176,0.21,2.0,0.9961,3.33,9.5
177,0.42,2.3,0.9972,3.58,10.5
178,0.0,2.5,0.9969,3.48,9.6
179,0.14,2.4,0.9969,3.19,9.5
180,0.14,2.4,0.9969,3.19,9.5
181,0.49,2.0,0.9972,3.12,9.3
182,0.02,2.5,0.9972,3.44,9.3
183,0.2,1.8,0.9971,3.54,9.3
184,0.21,1.9,0.997,3.52,9.3
185,0.57,2.0,0.9971,3.26,9.7
186,0.48,2.0,0.9972,3.34,9.2
187,0.1,2.6,0.9976,3.39,9.7
188,0.33,2.0,0.9968,3.2,9.5
189,0.32,1.9,0.9968,3.2,9.5
190,0.35,2.9,0.9976,3.23,9.4
191,0.25,1.9,0.9974,3.57,9.8
192,0.12,3.8,0.9969,3.28,9.5
193,0.21,2.2,0.9964,3.28,9.7
194,0.21,2.2,0.9964,3.28,9.7
195,0.33,2.0,0.9968,3.25,9.4
196,0.3,2.4,0.9968,3.46,10.2
197,0.6,2.0,0.9981,3.11,10.1
198,0.08,1.2,0.9924,3.57,13.0
199,0.06,2.1,0.9948,3.51,11.4
200,0.47,1.4,0.99695,3.22,10.3
201,0.48,2.1,0.9975,3.04,9.3
202,0.11,1.5,0.99545,3.36,9.5
203,0.35,1.6,0.9961,3.34,9.2
204,0.36,1.6,0.99615,3.34,9.2
205,0.74,2.6,0.9994,3.2,10.8
206,0.74,2.6,0.9994,3.2,10.8
207,0.31,1.8,0.99625,3.29,9.3
208,0.28,2.7,0.9966,3.22,9.4
209,0.58,2.1,0.998,3.31,10.5
210,0.6,2.0,0.99585,3.3,12.4
211,0.24,2.8,0.99685,3.35,10.0
212,0.64,2.1,0.998,3.21,10.2
213,0.26,2.2,0.9959,3.3,10.1
214,0.08,2.4,0.9974,3.24,9.8
215,0.49,5.6,0.9974,3.34,10.5
216,0.16,2.0,0.9962,3.14,11.0
217,0.22,2.2,0.9967,3.36,9.1
218,0.19,1.9,0.9957,3.39,9.7
219,0.33,2.4,0.99655,3.3,9.5
220,0.37,2.0,0.9964,3.34,9.4
221,0.26,2.0,0.9957,3.15,9.4
222,0.04,1.5,0.99525,3.42,9.5
223,0.25,2.0,0.99815,3.28,10.0
224,0.36,2.0,0.99745,3.31,10.4
225,0.25,2.6,0.99615,3.37,10.5
226,0.5,2.0,0.9964,3.04,9.5
227,0.14,2.6,0.9984,3.39,9.8
228,0.25,2.6,0.99615,3.37,10.5
229,0.25,2.6,0.99685,3.46,11.0
230,0.04,1.6,0.9927,3.54,12.2
231,0.06,1.8,0.99625,3.37,9.9
232,0.2,2.8,0.998,3.34,9.6
233,0.25,2.6,0.99685,3.46,11.0
234,0.09,2.3,0.99685,3.32,9.0
235,0.0,1.9,0.99675,3.37,9.0
236,0.0,1.9,0.99675,3.37,9.0
237,0.0,1.9,0.99675,3.37,9.2
238,0.0,1.9,0.99675,3.37,9.0
239,0.09,2.3,0.99685,3.32,9.0
240,0.37,1.7,0.9971,3.0,9.3
241,0.56,2.1,0.99925,3.14,10.9
242,0.1,1.8,0.99565,3.08,9.8
243,0.44,2.2,1.00005,3.07,9.2
244,0.44,2.2,1.00005,3.07,9.2
245,0.0,2.0,0.9983,3.61,9.9
246,0.07,1.9,0.99685,3.38,9.5
247,0.17,2.3,0.9963,3.2,9.3
248,0.06,1.7,0.99615,3.35,9.8
249,0.0,2.0,0.9983,3.61,9.9
250,0.44,1.6,0.9985,3.22,10.0
251,0.0,1.8,0.9972,3.47,9.9
252,0.48,3.1,0.9986,3.17,10.5
253,0.42,1.9,0.9959,3.23,9.5
254,0.0,1.8,0.9972,3.47,9.9
255,0.23,3.2,0.99675,3.26,9.3
256,0.37,2.2,0.998,3.22,9.2
257,0.0,2.1,0.9968,3.49,9.2
258,0.76,1.8,0.9968,3.06,9.4
259,0.47,2.6,0.99965,3.36,10.5
260,0.23,1.7,0.99625,3.29,9.3
261,0.04,2.0,0.99565,3.35,9.4
262,0.03,1.7,0.99575,3.34,10.0
263,0.23,1.8,0.9963,3.28,9.3
264,0.49,2.4,0.9999,3.08,10.9
265,0.52,1.8,0.9968,3.2,10.2
266,0.0,3.3,1.00025,3.6,9.8
267,0.46,3.6,0.9973,3.35,12.8
268,0.04,3.0,0.9987,3.69,9.4
269,0.51,4.0,0.9996,3.28,10.1
270,0.06,4.0,0.9965,3.36,10.7
271,0.51,4.0,0.9996,3.28,10.1
272,0.58,4.0,0.99935,3.22,10.1
273,0.2,2.4,0.99735,3.31,9.4
274,0.18,7.0,0.99915,3.38,9.4
275,0.06,4.0,0.9965,3.36,10.7
276,0.04,3.0,0.9987,3.69,9.4
277,0.51,4.0,0.9996,3.28,10.1
278,0.45,6.4,0.9976,3.23,12.6
279,0.32,5.6,0.9991,3.38,10.5
280,0.44,3.6,0.9986,3.12,9.3
281,0.68,3.5,0.9972,3.25,9.9
282,0.12,3.0,0.9971,3.36,9.1
283,0.32,5.6,0.9991,3.38,10.5
284,0.07,3.4,1.00015,3.31,9.8
285,0.07,3.4,1.00015,3.31,9.8
286,0.55,2.0,0.9997,3.1,10.3
287,0.12,3.0,0.9967,3.37,10.3
288,0.09,2.5,0.9976,3.34,10.6
289,0.53,3.3,1.001,3.2,9.2
290,0.09,2.5,0.9976,3.34,10.6
291,0.48,2.0,0.9979,3.3,10.5
292,0.23,2.7,0.9994,3.22,10.3
293,0.25,2.4,0.9964,3.41,10.1
294,0.52,3.2,1.0014,3.05,9.5
295,0.46,2.5,1.0001,3.05,9.5
296,0.37,2.6,0.9981,3.16,9.9
297,0.06,2.0,0.99855,3.67,9.6
298,0.02,2.3,0.9993,3.67,9.7
299,0.06,2.1,0.99845,3.68,9.6
300,0.06,2.6,0.9965,3.38,10.7
301,0.48,1.5,0.9973,3.22,10.1
302,0.12,2.6,0.9994,3.51,10.0
303,0.12,1.6,0.996,3.39,9.5
304,0.6,2.1,0.9973,3.2,9.2
305,0.48,2.5,0.9998,3.12,9.3
306,0.32,2.2,0.9966,3.36,9.4
307,0.42,2.4,0.9994,3.19,9.5
308,0.44,2.4,0.9994,3.19,9.5
309,0.38,1.7,0.9968,3.41,9.5
310,0.48,2.5,0.9998,3.12,9.3
311,0.24,2.0,0.996,3.27,9.4
312,0.31,2.8,0.99815,3.32,9.5
313,0.3,3.0,0.9976,3.3,9.4
314,0.29,2.6,0.99645,3.39,11.0
315,0.29,2.5,0.9962,3.42,11.0
316,0.23,3.4,0.9996,3.3,10.1
317,0.12,2.9,0.99865,3.3,10.4
318,0.39,3.2,0.9989,3.37,11.5
319,0.12,2.9,0.99865,3.3,10.4
320,0.39,3.2,0.9989,3.37,11.5
321,0.26,3.4,0.99975,3.24,9.7
322,0.05,2.3,0.99735,3.29,9.3
323,0.42,2.8,0.999,3.28,9.5
324,0.2,11.0,1.0015,3.16,9.2
325,0.2,11.0,1.0015,3.16,9.2
326,0.66,3.65,0.9978,3.05,11.5
327,0.5,4.5,0.998,3.28,11.5
328,0.62,2.6,1.0002,3.16,9.7
329,0.39,2.0,0.9981,3.18,9.5
330,0.64,2.9,0.998,3.23,12.5
331,0.64,2.9,0.998,3.23,12.5
332,0.28,3.2,0.9973,3.22,9.4
333,0.08,2.1,0.9958,3.13,11.0
334,0.01,2.5,0.9963,3.34,11.7
335,0.53,3.4,0.9992,3.17,12.2
336,0.45,1.9,0.9948,3.35,12.5
337,0.32,2.8,0.9974,3.31,10.3
338,0.58,3.0,1.0008,3.16,11.5
339,0.54,2.3,0.9997,3.11,9.8
340,0.5,2.4,1.0,3.12,9.2
341,0.48,2.7,0.9972,3.21,11.3
342,0.47,1.8,0.9982,3.3,9.8
343,0.47,1.8,0.9982,3.3,9.8
344,0.5,2.6,1.0006,3.12,10.7
345,0.0,1.9,0.9979,3.6,9.9
346,0.02,2.7,0.9955,3.58,12.3
347,0.67,3.0,0.9986,3.02,12.0
348,0.31,2.8,0.9979,3.11,10.0
349,0.0,2.6,0.9994,3.36,9.4
350,0.22,2.7,1.0004,3.28,9.9
351,0.0,2.6,0.9994,3.35,9.4
352,0.0,2.4,0.9974,3.27,9.3
353,0.79,4.8,1.0018,3.18,13.0
354,0.4,1.4,0.9912,3.25,11.9
355,0.01,2.4,0.9955,3.55,12.8
356,0.52,3.0,1.0001,3.26,11.0
357,0.66,2.95,0.997,3.24,11.7
358,0.66,3.1,1.0,3.15,10.4
359,0.66,2.6,1.001,3.17,9.8
360,0.23,2.0,0.9973,3.19,9.4
361,0.31,2.6,0.9982,3.37,9.9
362,0.66,2.5,0.9992,3.05,10.0
363,0.63,2.0,0.9988,2.99,10.2
364,0.66,5.8,1.0022,3.07,10.0
365,0.5,3.4,0.9979,3.26,11.8
366,0.66,5.8,1.0022,3.07,10.0
367,0.61,2.6,1.0,3.16,9.0
368,0.52,2.8,0.9998,3.18,9.4
369,0.53,2.4,0.9962,3.2,12.0
370,0.02,2.3,0.9975,3.57,9.9
371,0.4,1.6,0.9967,3.32,8.7
372,0.48,1.8,0.9967,3.32,10.6
373,0.22,2.2,0.9959,3.05,9.2
374,0.63,3.8,1.0014,3.01,10.8
375,0.71,4.4,0.9984,3.01,11.8
376,0.5,3.0,1.0003,3.26,11.0
377,0.53,2.4,0.9962,3.2,12.0
378,0.66,6.2,0.9988,3.11,13.3
379,0.38,2.5,0.9979,3.31,10.8
380,0.42,2.0,0.9974,3.21,9.4
381,0.68,2.9,1.0014,3.06,10.0
382,0.42,2.0,0.9974,3.21,9.4
383,0.42,2.0,0.9974,3.21,9.4
384,0.28,2.1,0.998,3.42,9.2
385,0.07,2.4,0.9979,3.43,9.7
386,0.26,2.0,0.9981,3.41,9.2
387,0.15,1.9,0.9972,3.31,9.6
388,0.26,1.9,0.9981,3.43,9.2
389,0.31,2.5,0.9982,3.19,10.0
390,0.05,1.4,0.9924,3.56,12.9
391,0.68,2.9,1.0014,3.06,10.0
392,0.52,2.0,0.998,3.18,9.5
393,0.61,2.0,0.997,3.16,9.1
394,0.65,2.3,0.9997,3.03,9.9
395,0.76,4.2,1.0004,3.22,13.0
396,0.02,7.9,0.9994,3.47,9.9
397,0.59,2.6,0.9988,3.18,11.0
398,0.59,2.6,0.9988,3.18,11.0
399,0.22,2.3,0.9963,3.1,9.4
400,0.02,7.9,0.9994,3.47,9.9
401,0.3,1.7,0.9949,3.29,10.8
402,0.54,2.6,1.0,3.1,10.5
403,0.49,2.7,0.9994,3.15,10.5
404,0.05,2.7,0.9974,3.26,9.1
405,0.46,1.4,0.9966,3.36,10.1
406,0.47,2.5,0.9981,3.24,10.8
407,0.66,3.0,0.9996,3.18,10.8
408,0.58,3.7,0.997,3.19,11.3
409,0.49,4.5,0.9981,3.05,9.6
410,0.34,2.5,0.9987,3.38,9.5
411,0.35,2.4,0.9987,3.38,9.5
412,0.16,1.9,0.9966,3.27,9.3
413,0.53,6.7,0.9986,3.27,11.7
414,0.34,2.7,0.9982,3.26,9.5
415,0.24,6.6,1.0014,3.32,9.3
416,0.64,2.2,0.997,3.26,11.7
417,0.12,1.9,0.9956,3.44,10.5
418,0.51,2.0,0.9996,3.24,10.4
419,0.0,1.8,0.9976,3.62,9.9
420,0.33,2.4,0.9972,3.28,11.8
421,0.03,2.3,0.9952,3.52,12.3
422,0.2,2.0,0.9955,3.36,10.9
423,0.47,2.1,0.9978,3.15,11.0
424,0.2,2.0,0.9955,3.36,10.9
425,0.03,2.3,0.9952,3.52,12.3
426,0.08,2.1,0.9949,3.49,11.4
427,0.22,1.9,0.9988,3.26,10.6
428,0.33,1.3,0.9978,3.24,9.3
429,0.63,2.4,0.9997,3.1,10.4
430,0.47,2.1,0.9978,3.15,11.0
431,0.35,2.2,0.9974,3.25,9.2
432,0.69,2.3,0.9958,3.0,12.8
433,0.63,2.3,1.0004,3.16,9.5
434,0.55,3.2,0.9996,3.15,9.9
435,0.63,2.3,1.0004,3.16,9.5
436,0.3,2.0,0.9958,3.26,10.2
437,0.73,3.2,0.9986,3.17,11.2
438,0.55,3.2,0.9996,3.15,9.9
439,0.18,1.5,0.9951,3.08,9.3
440,0.72,2.2,0.9987,2.88,9.8
441,0.65,2.15,0.9988,3.06,11.3
442,0.76,3.7,1.0032,2.95,11.2
443,0.49,2.7,0.9963,3.23,11.6
444,0.01,1.7,0.9934,3.57,12.5
445,0.1,2.1,0.9986,3.23,10.1
446,0.6,2.6,0.9996,3.1,10.5
447,0.29,2.1,0.9968,3.22,11.2
448,0.22,2.0,0.9967,3.2,10.2
449,0.69,2.8,0.9994,3.1,10.8
450,0.69,2.8,0.9994,3.1,10.8
451,0.53,1.8,0.9979,3.06,9.1
452,0.03,1.7,0.9968,3.44,10.0
453,0.63,2.8,0.9998,3.26,11.2
454,0.4,1.6,0.9952,3.5,11.1
455,0.67,5.2,0.9988,3.22,13.4
456,0.39,2.3,0.9986,3.37,10.3
457,0.21,2.7,0.9988,3.28,9.6
458,0.63,2.8,0.9998,3.26,11.2
459,0.66,2.2,1.0008,3.25,9.0
460,0.52,2.3,0.9976,3.35,11.3
461,0.22,2.6,0.9982,3.26,9.3
462,0.68,2.55,0.997,3.18,11.8
463,0.7,2.2,0.9972,3.08,9.0
464,0.54,2.1,0.9987,2.98,9.2
465,0.4,2.9,1.0006,3.48,9.7
466,0.42,2.0,0.9982,3.16,11.5
467,0.45,2.6,0.9947,3.32,14.0
468,0.69,2.1,1.0,3.17,9.2
469,0.02,1.2,0.9952,3.2,9.8
470,0.65,2.6,0.9996,3.05,10.6
471,0.42,2.4,0.997,3.2,11.4
472,0.55,2.6,0.9995,3.15,10.4
473,0.55,2.1,0.9971,3.26,10.6
474,0.51,1.7,0.9982,3.2,9.4
475,0.24,2.2,0.9988,3.14,10.2
476,0.41,2.0,0.998,3.28,9.7
477,0.49,1.8,0.9977,3.18,11.0
478,0.24,2.2,0.9988,3.14,10.2
479,0.11,2.7,0.9984,3.19,10.1
480,0.39,15.5,1.0026,3.12,9.2
481,0.56,2.8,0.9964,3.15,11.7
482,0.59,2.2,0.9986,3.04,9.4
483,0.6,2.2,0.9986,3.04,9.4
484,0.68,4.1,0.997,3.06,13.4
485,0.39,1.9,0.9976,3.17,10.0
486,0.39,1.9,0.9976,3.17,10.0
487,0.36,1.8,0.9982,3.17,10.0
488,0.55,2.8,1.0002,3.32,10.8
489,0.4,2.6,0.9984,3.34,10.2
490,0.27,2.8,0.9984,3.31,10.6
491,0.5,2.5,0.9952,3.34,13.3
492,0.51,2.6,0.995,3.32,13.4
493,0.31,3.0,1.0002,3.48,11.6
494,0.23,8.3,0.9952,3.44,12.1
495,0.53,2.6,0.9972,3.15,11.0
496,0.25,1.9,0.9984,3.43,9.0
497,0.32,2.5,0.9966,3.32,11.1
498,0.53,2.6,0.9972,3.15,11.0
499,0.31,3.0,1.0002,3.48,11.6
500,0.25,1.9,0.9984,3.43,9.0
501,0.73,6.55,0.999,3.17,12.0
502,0.73,6.55,0.999,3.17,12.0
503,0.47,1.9,0.9976,3.18,10.9
504,0.42,1.8,0.9976,3.21,10.8
505,0.63,2.9,0.9968,3.16,12.5
506,0.46,1.8,0.9976,3.25,10.8
507,0.55,2.3,1.0,3.17,9.5
508,0.31,2.2,0.9994,3.18,10.2
509,0.75,2.8,0.9986,3.04,11.4
510,0.49,4.6,0.9978,3.02,9.5
511,0.31,2.2,0.9994,3.18,10.2
512,0.48,2.1,0.998,3.03,9.7
513,0.64,2.4,0.9973,3.09,11.8
514,0.64,2.4,0.9973,3.09,11.8
515,0.49,6.1,1.001,3.31,9.3
516,0.49,4.3,1.001,3.25,11.9
517,0.49,2.1,0.9994,3.16,8.4
518,0.49,2.8,0.9972,3.22,11.7
519,0.49,2.5,0.9966,3.36,11.0
520,0.49,2.7,0.9982,3.42,10.0
521,0.49,2.0,0.998,3.48,9.1
522,0.49,2.3,0.9979,3.38,9.8
523,0.49,2.5,0.9978,3.22,9.4
524,0.49,2.4,0.9976,3.23,9.5
525,0.24,2.8,0.9998,3.24,9.9
526,0.49,2.5,0.9966,3.36,11.0
527,0.49,2.5,0.9962,3.39,11.4
528,0.49,2.6,0.9988,3.34,8.7
529,0.24,2.4,0.9974,3.09,9.4
530,0.24,2.1,0.999,3.41,10.3
531,0.49,2.7,1.0004,3.16,10.3
532,0.49,2.7,1.0004,3.16,10.3
533,0.24,2.1,0.9956,3.22,12.8
534,0.24,2.7,1.0,3.28,10.0
535,0.24,2.1,0.999,3.41,10.3
536,0.24,2.4,0.9974,3.09,9.4
537,0.24,2.1,0.9972,3.37,10.7
538,0.49,5.8,1.0014,3.2,12.0
539,0.74,5.15,0.9996,3.22,11.2
540,0.24,3.3,0.9988,3.26,9.6
541,0.49,6.3,0.9988,3.21,11.0
542,0.24,2.1,0.9966,3.12,9.9
543,0.24,2.5,0.9993,3.06,11.0
544,0.74,1.8,1.0008,2.86,8.4
545,0.49,2.6,0.9982,3.08,9.1
546,0.24,2.0,0.9983,3.45,9.5
547,0.49,2.5,0.9987,3.26,10.7
548,0.49,2.6,0.9994,3.12,10.4
549,0.49,1.9,0.9975,3.27,9.4
550,0.01,2.1,0.9958,3.33,9.5
551,0.24,2.8,0.998,3.19,10.0
552,0.24,2.7,0.998,3.12,10.0
553,0.24,1.6,0.9934,3.74,11.5
554,0.49,4.2,1.00315,2.92,11.1
555,0.49,4.2,1.00315,2.92,11.1
556,0.49,4.6,1.0002,3.07,11.7
557,0.49,4.2,1.00315,2.92,11.1
558,0.49,4.6,1.0002,3.07,11.7
559,0.49,4.3,1.0021,3.3,12.7
560,0.49,2.8,0.9994,3.14,11.4
561,0.49,2.4,0.9978,3.23,9.2
562,0.49,2.9,0.9982,3.08,9.2
563,0.49,2.7,0.9971,3.31,10.1
564,0.49,4.3,1.0021,3.3,12.7
565,0.49,2.8,0.9994,3.14,11.4
566,0.24,2.5,0.9991,3.32,9.0
567,0.24,2.5,0.9991,3.32,9.0
568,0.49,2.6,0.999,3.31,10.7
569,0.24,2.2,0.9946,3.57,11.7
570,0.49,3.3,1.0003,3.32,11.0
571,0.24,2.2,0.9946,3.57,11.7
572,0.49,2.4,0.9978,3.14,10.4
573,0.49,2.1,0.9991,3.3,9.6
574,0.49,3.2,0.9992,3.19,10.0
575,0.49,3.1,0.9993,3.2,10.2
576,0.24,2.3,0.9978,3.34,10.0
577,0.49,2.8,0.9982,3.3,9.5
578,0.49,2.9,0.9982,3.29,9.8
579,0.49,2.2,0.9976,3.14,9.8
580,0.49,2.2,1.0002,3.19,9.6
581,0.49,2.2,1.0002,3.19,9.6
582,0.49,2.2,1.0,3.19,9.2
583,0.49,1.9,0.9976,2.98,9.9
584,0.49,3.4,1.0002,3.3,10.7
585,0.24,2.4,0.998,3.47,9.6
586,0.49,2.7,0.9986,3.12,10.6
587,0.24,1.9,0.9967,3.26,9.3
588,0.24,2.0,0.9917,3.72,14.0
589,0.49,2.6,0.9976,3.05,10.5
590,0.49,2.6,0.9987,3.35,9.7
591,0.49,1.7,0.9922,3.12,11.5
592,0.49,2.6,0.9987,3.35,9.7
593,0.58,3.5,1.0004,3.29,9.0
594,0.17,2.6,0.9978,3.4,9.5
595,0.41,7.9,0.9998,3.27,9.3
596,0.51,2.0,0.9994,3.04,9.3
597,0.58,1.9,0.998,3.09,10.0
598,0.18,2.1,0.9967,3.2,9.8
599,0.45,2.3,1.0,3.0,9.3
600,0.27,2.1,0.9962,3.26,10.0
601,0.52,2.2,1.0006,3.1,9.0
602,0.0,2.6,0.9975,3.3,9.3
603,0.52,2.2,1.0006,3.1,9.0
604,0.13,2.9,0.9984,3.17,9.1
605,0.13,2.6,0.9984,3.31,9.2
606,0.48,4.6,0.9973,3.34,12.2
607,0.41,3.3,0.9982,3.31,10.5
608,0.37,5.1,1.0026,3.32,10.4
